3,4-Diaminopyridine	N07XX05
5-HTP	N06AX01
5-aminolevulinsyrehydroklorid SA	L01XD04
A-vitamin Oljeoppløsning NAF	V04CB01
ABx Support	A07FA
ACC	R05CB01
APO-go Pumpfill	N04BC07
Abalgin	N02AC04
Abboticin	J01FA01
Abboticin ES	J01FA01
Abelcet	J02AA01
Aberela	D10AD01
Abilify	N05AX12
Abilify Maintena	N05AX12
Abraxane	L01CD01
Abstral	N02AB03
Acadione	R05CB12
Acalka	A12BA02
Accolate	R03DC01
Accusol 35	B05ZB
Accusol 35 Kalium 2 mmol/l	B05ZB
Accusol 35 Kalium 4 mmol/l	B05ZB
Acetatbuffer pH 4,7 SA	D08AX
Acetatbuffer pH 4,8 SA	D08AX
Acetocaustin	D11AF
Acetylcystein SA	S01XA08
Acetylcystein Sandoz	R05CB01
Acetylsalicylsyre	N02BA01
Acetylsalisylsyre Actavis	B01AC06
Acetylsalisylsyre SA	N02BA01
Acetylsalisylsyre ullevål	N02BA01
Aciclovir Hexal	J05AB01
Aciclovir Hospira	J05AB01
Aciglumin NAF	A09AB01
Aclasta	M05BA08
Act-Hib	J07AG01
Actelsar HCT	C09DA07
Actidose-aqua	A07BA01
Actilyse	B01AD02
Actilyse SA	B01AD02
Activelle	G03FA01
Actos	A10BG03
Actrapid Penfill	A10AB01
Adagen	L03AX04
Adalat	C08CA05
Adalat Oros	C08CA05
Adartrel	N04BC04
Adasuve	N05AH01
Adcetris	L01XC12
Adcirca	G04BE08
Addaven	B05XA31
Adderall XR	N06BA01
Addex-Kaliumklorid	B05XA01
Addex-Magnesium	B05XA05
Addex-Natriumklorid	B05XA03
Addex-Tham	B05XX02
Adempas	C02KX05
Adenocor	C01EB10
Adenosin Life Medical	C01EB10
Adenosin SA	C01EB10
Adenuric	M04AA03
Adepend	N07BB04
Adipex-P	A08AA01
Adport	L04AD02
Adrenalin	S01EA01
Adrenalin Base NAF	V03A
Adrenalin SA	R03AA01
Adrenalin base NAF	V03A
Adrenalin-Oksybuprokain SA	N01B
Adrenaline	C01CA24
Adriamycin	L01DB01
Advagraf	L04AD02
Advate	B02BD02
Aerius	R06AX27
Aerobec	R03BA01
Aerobec Autohaler	R03BA01
Aethoxysklerol	C05BB02
Aethoxysklerol euromedica	C05BB02
Afi-D2 Forte	A11CC01
Afinitor	L01XE10
Afipran	A03FA01
Agiolax	A06AC51
Airapy	V03AN05
Airflusal Forspiro	R03AK06
Airol	D10AD01
Airomir	R03AC02
Airomir Autohaler	R03AC02
Akineton	N04AA02
Albothyl	G01AX03
Albothyl campus	G01AX03
Albumin Baxter	B05AA01
Albunorm	B05AA01
Albyl-E	B01AC06
Alcaine	S01HA04
Alcos-Anal	C05AX03
Aldactone	C03DA02
Aldactone campus	C03DA02
Aldara	D06BB10
Aldomet	C02AB01
Aldurazyme	A16AB05
Alea	C09DB02
Alea Comp	C09DX03
Alendronat Arrow	M05BA04
Alendronat Bluefish	M05BA04
Alendronat Mylan	M05BA04
Alendronat Sandoz	M05BA04
Alendronat Teva	M05BA04
Alfuzosin	G04CA01
Algesal	M02AC
Alicaforsen	A07E
Alimta	L01BA04
Alkeran	L01AA03
Alkeran life	L01AA03
Alkeran orifarm	L01AA03
Allopur	M04AA01
Almogran	N02CC05
Alopam	N05BA04
Aloxi	A04AA05
Alpha Lipoic Sustain	A16AX01
Alpha lipoic acid	A16AX01
Alphagan	S01EA05
Alphosyl	D05AA
Alsol vandig	D08AB
Alsolsprit SA	D08AB
